kata,label
enak,positif
cepat,positif
bersih,positif
luas,positif
ramah,positif
nyaman,positif
bagus,positif
jagonya,positif
suka,positif
sopan,positif
strategis,positif
mudah,positif
baik,positif
dekat,positif
senang,positif
mantap,positif
sabar,positif
senyum,positif
sigap,positif
asik,positif
murah,positif
rekomendasi,positif
recomended,positif
lancar,positif
harum,positif
teduh,positif
laku,positif
muas,positif
rame,positif
ok,positif
cocok,positif
favorite,positif
pas,positif
promo,positif
tenang,positif
variasi,positif
sip,positif
bisa,positif
kenal,positif
fast,positif
gratis,positif
sippp,positif
lezat,positif
terjangkau,positif
terbaik,positif
reliable,positif
recommended,positif
lambat,negatif
kotor,negatif
jelek,negatif
asin,negatif
kurang,negatif
aneh,negatif
diare,negatif
lama,negatif
panas,negatif
keras,negatif
bodoh,negatif
bau,negatif
kecil,negatif
jauh,negatif
kecewa,negatif
buruk,negatif
mahal,negatif
rugi,negatif
risih,negatif
panjang,negatif
malah,negatif
ribet,negatif
diperbaiki,negatif
malas,negatif
encer,negatif
susah,negatif
sedih,negatif
sinis,negatif
lemot,negatif
parah,negatif
kosong,negatif
gerah,negatif
jangan,negatif
rusak,negatif
judes,negatif
ubah,negatif
perhati,negatif
batas,negatif
nyata,negatif
bosan,negatif
lalat,negatif
belum,negatif
licin,negatif
bermasalah,negatif
sangat mengecewakan,negatif
tidak sepadan,negatif
