page,name,rating,date,snippet,snippet_baku,tokens,stemmed_tokens,positive_count,negative_count,sentiment_label
1,opii 1116,5.0,4 minggu lalu,sudah lama gak kesini rasa ayamnya msh sama msh enak cuman makin mahal aja skrg beli 1 paket wing harganya 50rb pink lava msh enak kaya dulu kemarin dpt free mie goreng 1pcs mgkn krn pembelian paket bangunan msh terawat bersih nyaman digunakan tugas atau sekedar nongkrong,sudah lama tidak kesini rasa ayamnya masih sama masih enak cuman makin mahal aja sekarang beli 1 paket wing harganya 50rb pink lava masih enak kaya dulu kemarin dapat free mie goreng 1pcs mungkin karena pembelian paket bangunan masih terawat bersih nyaman digunakan tugas atau sekedar nongkrong,"['sudah', 'lama', 'tidak', 'kesini', 'rasa', 'ayamnya', 'masih', 'sama', 'masih', 'enak', 'cuman', 'makin', 'mahal', 'aja', 'sekarang', 'beli', '1', 'paket', 'wing', 'harganya', '50rb', 'pink', 'lava', 'masih', 'enak', 'kaya', 'dulu', 'kemarin', 'dapat', 'free', 'mie', 'goreng', '1pcs', 'mungkin', 'karena', 'pembelian', 'paket', 'bangunan', 'masih', 'terawat', 'bersih', 'nyaman', 'digunakan', 'tugas', 'atau', 'sekedar', 'nongkrong']","['sudah', 'lama', 'tidak', 'kesini', 'rasa', 'ayam', 'masih', 'sama', 'masih', 'enak', 'cuman', 'makin', 'mahal', 'aja', 'sekarang', 'beli', '1', 'paket', 'wing', 'harga', '50rb', 'pink', 'lava', 'masih', 'enak', 'kaya', 'dulu', 'kemarin', 'dapat', 'free', 'mie', 'goreng', '1pcs', 'mungkin', 'karena', 'beli', 'paket', 'bangun', 'masih', 'awat', 'bersih', 'nyaman', 'guna', 'tugas', 'atau', 'dar', 'nongkrong']",4,3,positif
1,indra irmono,1.0,2 minggu lalu,apk gobiz restonya gk ada resto bawah orang luar pegawai resto mesti nunggu wa dulu dari pegang apk gobiz sangat mengecewakan driver gojek apalagi orderan ayam utuh proses memasaknya 45 menit,apk gobiz restonya gk ada resto bawah orang luar pegawai resto mesti nunggu wa dulu dari pegang apk gobiz sangat mengecewakan driver gojek apalagi orderan ayam utuh proses memasaknya 45 menit,"['apk', 'gobiz', 'restonya', 'gk', 'ada', 'resto', 'bawah', 'orang', 'luar', 'pegawai', 'resto', 'mesti', 'nunggu', 'wa', 'dulu', 'dari', 'pegang', 'apk', 'gobiz', 'sangat', 'mengecewakan', 'driver', 'gojek', 'apalagi', 'orderan', 'ayam', 'utuh', 'proses', 'memasaknya', '45', 'menit']","['apk', 'gobiz', 'restonya', 'gk', 'ada', 'resto', 'bawah', 'orang', 'luar', 'pegawai', 'resto', 'mesti', 'nunggu', 'wa', 'dulu', 'dari', 'pegang', 'apk', 'gobiz', 'sangat', 'kecewa', 'driver', 'gojek', 'apalagi', 'order', 'ayam', 'utuh', 'proses', 'masak', '45', 'menit']",0,1,negatif
1,maisya bimo,4.0,4 bulan lalu,pelayanan tidak baik sekali pesan tidak sesuai ekspektasi untuk extra free tidak konfirmasi kalo tidak tersedia tidak dapat semuanya,pelayanan tidak baik sekali pesan tidak sesuai ekspektasi untuk extra free tidak konfirmasi kalo tidak tersedia tidak dapat semuanya,"['pelayanan', 'tidak', 'baik', 'sekali', 'pesan', 'tidak', 'sesuai', 'ekspektasi', 'untuk', 'extra', 'free', 'tidak', 'konfirmasi', 'kalo', 'tidak', 'tersedia', 'tidak', 'dapat', 'semuanya']","['layan', 'tidak', 'baik', 'sekali', 'pesan', 'tidak', 'sesuai', 'ekspektasi', 'untuk', 'extra', 'free', 'tidak', 'konfirmasi', 'kalo', 'tidak', 'sedia', 'tidak', 'dapat', 'semua']",1,5,negatif
1,al wijaya,5.0,6 bulan lalu,coba menu spesial ramadhan laksa chicken surprisingly ini rasanya good rempahrempahnya berasa balance bikin unik ada rasa asamnya buat bumbunya makin enak untuk ayam masih sama ayam richeese pada umumnya kalau dicampur saus keju agak tidak nyambung saus laksanya karena si saus laksanya ini sudah cukup strong rasa kejunya hilang,coba menu spesial ramadhan laksa chicken surprisingly ini rasanya good rempahrempahnya berasa balance bikin unik ada rasa asamnya buat bumbunya makin enak untuk ayam masih sama ayam richeese pada umumnya kalau dicampur saus keju agak tidak nyambung saus laksanya karena si saus laksanya ini sudah cukup strong rasa kejunya hilang,"['coba', 'menu', 'spesial', 'ramadhan', 'laksa', 'chicken', 'surprisingly', 'ini', 'rasanya', 'good', 'rempahrempahnya', 'berasa', 'balance', 'bikin', 'unik', 'ada', 'rasa', 'asamnya', 'buat', 'bumbunya', 'makin', 'enak', 'untuk', 'ayam', 'masih', 'sama', 'ayam', 'richeese', 'pada', 'umumnya', 'kalau', 'dicampur', 'saus', 'keju', 'agak', 'tidak', 'nyambung', 'saus', 'laksanya', 'karena', 'si', 'saus', 'laksanya', 'ini', 'sudah', 'cukup', 'strong', 'rasa', 'kejunya', 'hilang']","['coba', 'menu', 'spesial', 'ramadhan', 'laksa', 'chicken', 'surprisingly', 'ini', 'rasa', 'good', 'rempahrempahnya', 'asa', 'balance', 'bikin', 'unik', 'ada', 'rasa', 'asam', 'buat', 'bumbu', 'makin', 'enak', 'untuk', 'ayam', 'masih', 'sama', 'ayam', 'richeese', 'pada', 'umum', 'kalau', 'campur', 'saus', 'keju', 'agak', 'tidak', 'nyambung', 'saus', 'laksa', 'karena', 'si', 'saus', 'laksa', 'ini', 'sudah', 'cukup', 'strong', 'rasa', 'keju', 'hilang']",1,1,netral
1,dewi app,5.0,sebulan lalu,pelayanan bagus tempat bersih harga oke untuk rasa cukup enak pedas untuk view oke,pelayanan bagus tempat bersih harga oke untuk rasa cukup enak pedas untuk view oke,"['pelayanan', 'bagus', 'tempat', 'bersih', 'harga', 'oke', 'untuk', 'rasa', 'cukup', 'enak', 'pedas', 'untuk', 'view', 'oke']","['layan', 'bagus', 'tempat', 'bersih', 'harga', 'oke', 'untuk', 'rasa', 'cukup', 'enak', 'pedas', 'untuk', 'view', 'oke']",3,0,positif
1,maulida aisyah,5.0,5 bulan lalu,menurutku whole chicken bumbu pedas tabur paling puas untuk dicoba tapi sayangnya antri cukup lama tempatnya terlalu padat takeaway,menurutku whole chicken bumbu pedas tabur paling puas untuk dicoba tapi sayangnya antri cukup lama tempatnya terlalu padat takeaway,"['menurutku', 'whole', 'chicken', 'bumbu', 'pedas', 'tabur', 'paling', 'puas', 'untuk', 'dicoba', 'tapi', 'sayangnya', 'antri', 'cukup', 'lama', 'tempatnya', 'terlalu', 'padat', 'takeaway']","['turut', 'whole', 'chicken', 'bumbu', 'pedas', 'tabur', 'paling', 'puas', 'untuk', 'coba', 'tapi', 'sayang', 'antri', 'cukup', 'lama', 'tempat', 'terlalu', 'padat', 'takeaway']",1,1,netral
1,edith hidayat,1.0,sebulan lalu,restoran ayam termahal terparah beli ala carte 3 fire chicken tidak bisa pilih ayam harga hampir 90 ribu beli harga normal loo bukan promo tapi tidak bisa pilih ayam level ayam harus sama tiga tiganya sekali lagi ini beli harga normal bukan promo tapi sepertinya opsi customer benar2 dicekek restoran indonesia harga tidak memihak indonesia skip,restoran ayam termahal terparah beli ala carte 3 fire chicken tidak bisa pilih ayam harga hampir 90 ribu beli harga normal loo bukan promo tapi tidak bisa pilih ayam level ayam harus sama tiga tiganya sekali lagi ini beli harga normal bukan promo tapi sepertinya opsi customer benar2 dicekek restoran indonesia harga tidak memihak indonesia skip,"['restoran', 'ayam', 'termahal', 'terparah', 'beli', 'ala', 'carte', '3', 'fire', 'chicken', 'tidak', 'bisa', 'pilih', 'ayam', 'harga', 'hampir', '90', 'ribu', 'beli', 'harga', 'normal', 'loo', 'bukan', 'promo', 'tapi', 'tidak', 'bisa', 'pilih', 'ayam', 'level', 'ayam', 'harus', 'sama', 'tiga', 'tiganya', 'sekali', 'lagi', 'ini', 'beli', 'harga', 'normal', 'bukan', 'promo', 'tapi', 'sepertinya', 'opsi', 'customer', 'benar2', 'dicekek', 'restoran', 'indonesia', 'harga', 'tidak', 'memihak', 'indonesia', 'skip']","['restoran', 'ayam', 'mahal', 'parah', 'beli', 'ala', 'carte', '3', 'fire', 'chicken', 'tidak', 'bisa', 'pilih', 'ayam', 'harga', 'hampir', '90', 'ribu', 'beli', 'harga', 'normal', 'loo', 'bukan', 'promo', 'tapi', 'tidak', 'bisa', 'pilih', 'ayam', 'level', 'ayam', 'harus', 'sama', 'tiga', 'tiga', 'sekali', 'lagi', 'ini', 'beli', 'harga', 'normal', 'bukan', 'promo', 'tapi', 'seperti', 'opsi', 'customer', 'benar2', 'cekek', 'restoran', 'indonesia', 'harga', 'tidak', 'pihak', 'indonesia', 'skip']",0,4,negatif
1,yayuk zubaidah,2.0,sebulan lalu,aneh sekali makan tempat menu chiken wings tdk ready sdngkan online menu ready hrus klo tdk ready aplikasi online matikan dong kecewaa pelayanan krang ramah mbk judesshrusnya pelayanan lebih baik lagi lebih sopanjlsin kok jutek bgt,aneh sekali makan tempat menu chiken wings tidak ready sdngkan online menu ready hrus kalau tidak ready aplikasi online matikan dong kecewaa pelayanan krang ramah mbk judesshrusnya pelayanan lebih baik lagi lebih sopanjlsin kok jutek sekali,"['aneh', 'sekali', 'makan', 'tempat', 'menu', 'chiken', 'wings', 'tidak', 'ready', 'sdngkan', 'online', 'menu', 'ready', 'hrus', 'kalau', 'tidak', 'ready', 'aplikasi', 'online', 'matikan', 'dong', 'kecewaa', 'pelayanan', 'krang', 'ramah', 'mbk', 'judesshrusnya', 'pelayanan', 'lebih', 'baik', 'lagi', 'lebih', 'sopanjlsin', 'kok', 'jutek', 'sekali']","['aneh', 'sekali', 'makan', 'tempat', 'menu', 'chiken', 'wings', 'tidak', 'ready', 'sdngkan', 'online', 'menu', 'ready', 'hrus', 'kalau', 'tidak', 'ready', 'aplikasi', 'online', 'mati', 'dong', 'kecewaa', 'layan', 'krang', 'ramah', 'mbk', 'judesshrusnya', 'layan', 'lebih', 'baik', 'lagi', 'lebih', 'sopanjlsin', 'kok', 'jutek', 'sekali']",2,4,negatif
2,yayuk zubaidah,2.0,sebulan lalu,aneh sekali makan tempat menu chiken wings tdk ready sdngkan online menu ready hrus klo tdk ready aplikasi online matikan dong kecewaa pelayanan krang ramah mbk judesshrusnya pelayanan lebih baik lagi lebih sopanjlsin kok jutek bgt,aneh sekali makan tempat menu chiken wings tidak ready sdngkan online menu ready hrus kalau tidak ready aplikasi online matikan dong kecewaa pelayanan krang ramah mbk judesshrusnya pelayanan lebih baik lagi lebih sopanjlsin kok jutek sekali,"['aneh', 'sekali', 'makan', 'tempat', 'menu', 'chiken', 'wings', 'tidak', 'ready', 'sdngkan', 'online', 'menu', 'ready', 'hrus', 'kalau', 'tidak', 'ready', 'aplikasi', 'online', 'matikan', 'dong', 'kecewaa', 'pelayanan', 'krang', 'ramah', 'mbk', 'judesshrusnya', 'pelayanan', 'lebih', 'baik', 'lagi', 'lebih', 'sopanjlsin', 'kok', 'jutek', 'sekali']","['aneh', 'sekali', 'makan', 'tempat', 'menu', 'chiken', 'wings', 'tidak', 'ready', 'sdngkan', 'online', 'menu', 'ready', 'hrus', 'kalau', 'tidak', 'ready', 'aplikasi', 'online', 'mati', 'dong', 'kecewaa', 'layan', 'krang', 'ramah', 'mbk', 'judesshrusnya', 'layan', 'lebih', 'baik', 'lagi', 'lebih', 'sopanjlsin', 'kok', 'jutek', 'sekali']",2,4,negatif
2,ajeng wulandari,5.0,2 bulan lalu,mantap tempat duduk lumayan banyak nyaman,mantap tempat duduk lumayan banyak nyaman,"['mantap', 'tempat', 'duduk', 'lumayan', 'banyak', 'nyaman']","['mantap', 'tempat', 'duduk', 'lumayan', 'banyak', 'nyaman']",2,0,positif
