snippet,snippet_baku,tokens,stemmed_tokens,sentiment_label
parkir tempatnya luas playgroundnya walau hanya prosotan kids friendly moms happy,parkir tempatnya luas playgroundnya walau hanya perosotan anak ramah ibu senang,"['parkir', 'tempatnya', 'luas', 'playgroundnya', 'walau', 'hanya', 'perosotan', 'anak', 'ramah', 'ibu', 'senang']","['parkir', 'tempat', 'luas', 'playgroundnya', 'walau', 'hanya', 'perosot', 'anak', 'ramah', 'ibu', 'senang']",positif
bintang 0 bener bener restoran jelek kemarin dr sana bawa laptop kerja butuh colokan listrik hanya diluar tapi berisik kalau luar terus satu2nya stopkontak tapi dikuasain sama karyawan pakai baju abu abu ntah dia netflixan atau nonton bok3p tapi lama bgt gak sadar diri harusnya ngeutamain customer peka dong kerjain kek kerjaan lo dapur atau ruangan lo sendiri jangan malah kayak gitu tolong kasih sp tuh akhirnya sy langsung pulang males kesana lg,bintang 0 bener bener restoran jelek kemarin dari sana bawa laptop kerja butuh colokan listrik hanya diluar tapi berisik kalau luar terus satu-satunya stopkontak tapi dikuasain sama karyawan pakai baju abu abu ntah dia netflixan atau nonton porno tapi lama sekali tidak sadar diri harusnya mengutamakan pelanggan peka dong kerjain kek kerjaan lo dapur atau ruangan lo sendiri jangan malah kayak gitu tolong kasih sp tuh akhirnya saya langsung pulang males kesana lagi,"['bintang', '0', 'bener', 'bener', 'restoran', 'jelek', 'kemarin', 'dari', 'sana', 'bawa', 'laptop', 'kerja', 'butuh', 'colokan', 'listrik', 'hanya', 'diluar', 'tapi', 'berisik', 'kalau', 'luar', 'terus', 'satusatunya', 'stopkontak', 'tapi', 'dikuasain', 'sama', 'karyawan', 'pakai', 'baju', 'abu', 'abu', 'ntah', 'dia', 'netflixan', 'atau', 'nonton', 'porno', 'tapi', 'lama', 'sekali', 'tidak', 'sadar', 'diri', 'harusnya', 'mengutamakan', 'pelanggan', 'peka', 'dong', 'kerjain', 'kek', 'kerjaan', 'lo', 'dapur', 'atau', 'ruangan', 'lo', 'sendiri', 'jangan', 'malah', 'kayak', 'gitu', 'tolong', 'kasih', 'sp', 'tuh', 'akhirnya', 'saya', 'langsung', 'pulang', 'males', 'kesana', 'lagi']","['bintang', '0', 'bener', 'bener', 'restoran', 'jelek', 'kemarin', 'dari', 'sana', 'bawa', 'laptop', 'kerja', 'butuh', 'colok', 'listrik', 'hanya', 'luar', 'tapi', 'berisik', 'kalau', 'luar', 'terus', 'satusatunya', 'stopkontak', 'tapi', 'dikuasain', 'sama', 'karyawan', 'pakai', 'baju', 'abu', 'abu', 'ntah', 'dia', 'netflixan', 'atau', 'nonton', 'porno', 'tapi', 'lama', 'sekali', 'tidak', 'sadar', 'diri', 'harus', 'utama', 'langgan', 'peka', 'dong', 'kerjain', 'kek', 'kerja', 'lo', 'dapur', 'atau', 'ruang', 'lo', 'sendiri', 'jangan', 'malah', 'kayak', 'gitu', 'tolong', 'kasih', 'sp', 'tuh', 'akhir', 'saya', 'langsung', 'pulang', 'males', 'kesana', 'lagi']",negatif
mohon beradaptasi atas layanan pesan tanpa turun kami pesan dengan kode order id 10380505d240096 pesanan dikonfirmasi pihak kfc a yani surabaya pukul 1853 wib sampai 1930 wib pesanan belum selesai kami berupaya konfirmasi namun kami disuruh antri layaknya pesanan langsung station kfc bukan layaknya pesan tanpa turun mohon berbenah atas pelayanan tanpa turun somasi i,mohon beradaptasi atas layanan pesan tanpa turun kami pesan dengan kode order id 10380505d240096 pesanan dikonfirmasi pihak kfc a yani surabaya pukul 1853 wib sampai 1930 wib pesanan belum selesai kami berupaya konfirmasi namun kami disuruh antre layaknya pesanan langsung station kfc bukan layaknya pesan tanpa turun mohon berbenah atas pelayanan tanpa turun somasi i,"['mohon', 'beradaptasi', 'atas', 'layanan', 'pesan', 'tanpa', 'turun', 'kami', 'pesan', 'dengan', 'kode', 'order', 'id', '10380505d240096', 'pesanan', 'dikonfirmasi', 'pihak', 'kfc', 'a', 'yani', 'surabaya', 'pukul', '1853', 'wib', 'sampai', '1930', 'wib', 'pesanan', 'belum', 'selesai', 'kami', 'berupaya', 'konfirmasi', 'namun', 'kami', 'disuruh', 'antre', 'layaknya', 'pesanan', 'langsung', 'station', 'kfc', 'bukan', 'layaknya', 'pesan', 'tanpa', 'turun', 'mohon', 'berbenah', 'atas', 'pelayanan', 'tanpa', 'turun', 'somasi', 'i']","['mohon', 'adaptasi', 'atas', 'layan', 'pesan', 'tanpa', 'turun', 'kami', 'pesan', 'dengan', 'kode', 'order', 'id', '10380505d240096', 'pesan', 'konfirmasi', 'pihak', 'kfc', 'a', 'yani', 'surabaya', 'pukul', '1853', 'wib', 'sampai', '1930', 'wib', 'pesan', 'belum', 'selesai', 'kami', 'upaya', 'konfirmasi', 'namun', 'kami', 'suruh', 'antre', 'layak', 'pesan', 'langsung', 'station', 'kfc', 'bukan', 'layak', 'pesan', 'tanpa', 'turun', 'mohon', 'benah', 'atas', 'layan', 'tanpa', 'turun', 'somasi', 'i']",netral
makan berat sekalian nongkrong hehehe suka ke kfc ahmad yani terutama sama kasir namanya jussi mbaknya ramah banyak senyum,makan berat sekalian nongkrong hehehe suka ke kfc ahmad yani terutama sama kasir namanya jussi mbaknya ramah banyak senyum,"['makan', 'berat', 'sekalian', 'nongkrong', 'hehehe', 'suka', 'ke', 'kfc', 'ahmad', 'yani', 'terutama', 'sama', 'kasir', 'namanya', 'jussi', 'mbaknya', 'ramah', 'banyak', 'senyum']","['makan', 'berat', 'sekali', 'nongkrong', 'hehehe', 'suka', 'ke', 'kfc', 'ahmad', 'yani', 'utama', 'sama', 'kasir', 'nama', 'jussi', 'mbak', 'ramah', 'banyak', 'senyum']",positif
biasa ac indoor terlalu dingin,biasa ac di dalam terlalu dingin,"['biasa', 'ac', 'di', 'dalam', 'terlalu', 'dingin']","['biasa', 'ac', 'di', 'dalam', 'terlalu', 'dingin']",netral
tempatnya luas parkiran luas nyaman pelayanan bagus bersih banget trus playground anak,tempatnya luas parkiran luas nyaman pelayanan bagus bersih sekali trus playground anak,"['tempatnya', 'luas', 'parkiran', 'luas', 'nyaman', 'pelayanan', 'bagus', 'bersih', 'sekali', 'trus', 'playground', 'anak']","['tempat', 'luas', 'parkir', 'luas', 'nyaman', 'layan', 'bagus', 'bersih', 'sekali', 'trus', 'playground', 'anak']",positif
tempatnya didepan jalan gak terlalu rame 24jam pelayanan bagus banget,tempatnya didepan jalan tidak terlalu rame 24jam pelayanan bagus sekali,"['tempatnya', 'didepan', 'jalan', 'tidak', 'terlalu', 'rame', '24jam', 'pelayanan', 'bagus', 'sekali']","['tempat', 'depan', 'jalan', 'tidak', 'terlalu', 'rame', '24jam', 'layan', 'bagus', 'sekali']",positif
makanan sini sangat asin,makanan sini sangat asin,"['makanan', 'sini', 'sangat', 'asin']","['makan', 'sini', 'sangat', 'asin']",negatif
pelayanan lama bgt sampai kelaparan anak,pelayanan lama sekali sampai kelaparan anak,"['pelayanan', 'lama', 'sekali', 'sampai', 'kelaparan', 'anak']","['layan', 'lama', 'sekali', 'sampai', 'lapar', 'anak']",negatif
setelah belanja mendapat kode qr tapi kode rusak karna mereka ngeprint tdk baik,setelah belanja mendapat kode qr tapi kode rusak karna mereka ngeprint tidak baik,"['setelah', 'belanja', 'mendapat', 'kode', 'qr', 'tapi', 'kode', 'rusak', 'karna', 'mereka', 'ngeprint', 'tidak', 'baik']","['telah', 'belanja', 'dapat', 'kode', 'qr', 'tapi', 'kode', 'rusak', 'karna', 'mereka', 'ngeprint', 'tidak', 'baik']",netral
kami mau klaim kode tersebut bisa petugas malah menyalahkan kami,kami mau klaim kode tersebut bisa petugas malah menyalahkan kami,"['kami', 'mau', 'klaim', 'kode', 'tersebut', 'bisa', 'petugas', 'malah', 'menyalahkan', 'kami']","['kami', 'mau', 'klaim', 'kode', 'sebut', 'bisa', 'tugas', 'malah', 'salah', 'kami']",netral
lucu sekali pelayannan sangat poor kapok kesini lamaaaaaa bgt sampai kelaparan,lucu sekali pelayannan sangat poor kapok kesini lamaaaaaa sekali sampai kelaparan,"['lucu', 'sekali', 'pelayannan', 'sangat', 'poor', 'kapok', 'kesini', 'lamaaaaaa', 'sekali', 'sampai', 'kelaparan']","['lucu', 'sekali', 'pelayannan', 'sangat', 'poor', 'kapok', 'kesini', 'lamaaaaaa', 'sekali', 'sampai', 'lapar']",negatif
jagonya ayam,jagonya ayam,"['jagonya', 'ayam']","['jago', 'ayam']",positif
