kata,label
enak,positif
bagus,positif
nyaman,positif
murah,positif
puas,positif
mantap,positif
suka,positif
bersih,positif
ramah,positif
cepat,positif
baik,positif
luas,positif
nikmat,positif
nagih,positif
asik,positif
murah,positif
juara,positif
strategis,positif
keren,positif
empuk,positif
lezat,positif
senang,positif
gurih,positif
mahal,negatif
buruk,negatif
tidak,negatif
kurang,negatif
jelek,negatif
lama,negatif
kecewa,negatif
salah,negatif
macet,negatif
kecil,negatif
susah,negatif
sedikit,negatif
kotor,negatif
males,negatif
aneh,negatif
jutek,negatif
judes,negatif
gosong,negatif
